"","temp_bin","q","data","spp"
"1",16,3.9043538799101,"Lewis","Silver Hake"
"2",7.5,0,"Lewis","Silver Hake"
"3",18.5,1.59510132846383,"Lewis","Silver Hake"
"4",3.5,0,"Lewis","Silver Hake"
"5",11.5,0.215796127354521,"Lewis","Silver Hake"
"6",10,0,"Lewis","Silver Hake"
"7",5,0,"Lewis","Silver Hake"
"8",13,2.08909545870972,"Lewis","Silver Hake"
"9",16.5,6.1285602942584,"Lewis","Silver Hake"
"10",17,0.352036078725808,"Lewis","Silver Hake"
"11",12.5,0.115662440467932,"Lewis","Silver Hake"
"12",10.5,0,"Lewis","Silver Hake"
"13",9,0,"Lewis","Silver Hake"
"14",5.5,0,"Lewis","Silver Hake"
"15",24.5,0,"Lewis","Silver Hake"
"16",6.5,0,"Lewis","Silver Hake"
"17",11,0,"Lewis","Silver Hake"
"18",21,0,"Lewis","Silver Hake"
"19",22,0,"Lewis","Silver Hake"
"20",6,0,"Lewis","Silver Hake"
"21",12,0.966607538196287,"Lewis","Silver Hake"
"22",4.5,0,"Lewis","Silver Hake"
"23",8.5,0.18894591796018,"Lewis","Silver Hake"
"24",19,0.507916461042956,"Lewis","Silver Hake"
"25",25.5,0,"Lewis","Silver Hake"
"26",9.5,0,"Lewis","Silver Hake"
"27",14,2.15995017794479,"Lewis","Silver Hake"
"28",13.5,0,"Lewis","Silver Hake"
"29",3,0,"Lewis","Silver Hake"
"30",18,0,"Lewis","Silver Hake"
"31",15,1.42902781109883,"Lewis","Silver Hake"
"32",20.5,0,"Lewis","Silver Hake"
"33",17.5,3.06286953830233,"Lewis","Silver Hake"
"34",2,0,"Lewis","Silver Hake"
"35",19.5,0,"Lewis","Silver Hake"
"36",8,0,"Lewis","Silver Hake"
"37",15.5,2.45954802721242,"Lewis","Silver Hake"
"38",23.5,0,"Lewis","Silver Hake"
"39",7,0,"Lewis","Silver Hake"
"40",21.5,0.491358831916446,"Lewis","Silver Hake"
"41",25,0,"Lewis","Silver Hake"
"42",23,0,"Lewis","Silver Hake"
"43",26.5,0,"Lewis","Silver Hake"
"44",20,0,"Lewis","Silver Hake"
"45",26,0,"Lewis","Silver Hake"
"46",24,0,"Lewis","Silver Hake"
"47",14.5,31.5758462477454,"Lewis","Silver Hake"
"48",22.5,0,"Lewis","Silver Hake"
"49",27,0,"Lewis","Silver Hake"
"50",4,0,"Lewis","Silver Hake"
"51",2.5,0,"Lewis","Silver Hake"
"52",12,0,"Lewis","Silver Hake"
"53",19,0,"Lewis","Silver Hake"
"54",5.5,0,"Lewis","Silver Hake"
"55",11,0,"Lewis","Silver Hake"
"56",6,0,"Lewis","Silver Hake"
"57",10,0,"Lewis","Silver Hake"
"58",4.5,0,"Lewis","Silver Hake"
"59",13.5,0,"Lewis","Silver Hake"
"60",2,0,"Lewis","Silver Hake"
"61",18.5,2.53495412421881,"Lewis","Silver Hake"
"62",17,0.380904411013053,"Lewis","Silver Hake"
"63",15,3.15005187730904,"Lewis","Silver Hake"
"64",18,0,"Lewis","Silver Hake"
"65",7,0,"Lewis","Silver Hake"
"66",23,0.71155060112855,"Lewis","Silver Hake"
"67",9,0,"Lewis","Silver Hake"
"68",26,0,"Lewis","Silver Hake"
"69",14,2.30976202567082,"Lewis","Silver Hake"
"70",10.5,0,"Lewis","Silver Hake"
"71",16.5,6.02377240901324,"Lewis","Silver Hake"
"72",24,0,"Lewis","Silver Hake"
"73",15.5,1.42654936966831,"Lewis","Silver Hake"
"74",16,6.53888844649653,"Lewis","Silver Hake"
"75",12.5,1.29348789573183,"Lewis","Silver Hake"
"76",7.5,0,"Lewis","Silver Hake"
"77",17.5,0,"Lewis","Silver Hake"
"78",11.5,0.430501339530378,"Lewis","Silver Hake"
"79",13,1.08074068997751,"Lewis","Silver Hake"
"80",19.5,0,"Lewis","Silver Hake"
"81",25.5,0,"Lewis","Silver Hake"
"82",3,0,"Lewis","Silver Hake"
"83",3.5,0,"Lewis","Silver Hake"
"84",21,0,"Lewis","Silver Hake"
"85",9.5,0,"Lewis","Silver Hake"
"86",8,0,"Lewis","Silver Hake"
"87",23.5,0,"Lewis","Silver Hake"
"88",20,0,"Lewis","Silver Hake"
"89",5,0,"Lewis","Silver Hake"
"90",22.5,0,"Lewis","Silver Hake"
"91",8.5,0.125645552243889,"Lewis","Silver Hake"
"92",21.5,0.43565942009618,"Lewis","Silver Hake"
"93",14.5,18.6643161396396,"Lewis","Silver Hake"
"94",27,0,"Lewis","Silver Hake"
"95",22,0,"Lewis","Silver Hake"
"96",25,0,"Lewis","Silver Hake"
"97",26.5,0,"Lewis","Silver Hake"
"98",6.5,0,"Lewis","Silver Hake"
"99",4,0,"Lewis","Silver Hake"
"100",20.5,0,"Lewis","Silver Hake"
"101",24.5,0,"Lewis","Silver Hake"
"102",17,4.14062656323993,"Lewis","Silver Hake"
"103",21.5,0.564178155438018,"Lewis","Silver Hake"
"104",9,0.470148462865015,"Lewis","Silver Hake"
"105",8,0,"Lewis","Silver Hake"
"106",15.5,0.721279677318869,"Lewis","Silver Hake"
"107",7.5,0,"Lewis","Silver Hake"
"108",5,0,"Lewis","Silver Hake"
"109",17.5,2.6874434851544,"Lewis","Silver Hake"
"110",11.5,0,"Lewis","Silver Hake"
"111",10,0,"Lewis","Silver Hake"
"112",12.5,1.76532612267749,"Lewis","Silver Hake"
"113",13,2.01242626977475,"Lewis","Silver Hake"
"114",27,0,"Lewis","Silver Hake"
"115",11,0,"Lewis","Silver Hake"
"116",16,1.99758750005867,"Lewis","Silver Hake"
"117",16.5,6.011734443192,"Lewis","Silver Hake"
"118",5.5,0,"Lewis","Silver Hake"
"119",26,0,"Lewis","Silver Hake"
"120",7,0,"Lewis","Silver Hake"
"121",14,0.574059375758847,"Lewis","Silver Hake"
"122",14.5,11.9395443884591,"Lewis","Silver Hake"
"123",10.5,0.0435348601480571,"Lewis","Silver Hake"
"124",20,0,"Lewis","Silver Hake"
"125",12,1.01845854096429,"Lewis","Silver Hake"
"126",19,0.399901456001343,"Lewis","Silver Hake"
"127",18.5,3.45212289372525,"Lewis","Silver Hake"
"128",8.5,0.090116729325955,"Lewis","Silver Hake"
"129",3.5,0,"Lewis","Silver Hake"
"130",25.5,0,"Lewis","Silver Hake"
"131",22,0,"Lewis","Silver Hake"
"132",15,0.436354689367782,"Lewis","Silver Hake"
"133",13.5,0.0703938135655815,"Lewis","Silver Hake"
"134",20.5,0,"Lewis","Silver Hake"
"135",22.5,0,"Lewis","Silver Hake"
"136",9.5,0,"Lewis","Silver Hake"
"137",23,0.236946016881853,"Lewis","Silver Hake"
"138",4,0,"Lewis","Silver Hake"
"139",6.5,0,"Lewis","Silver Hake"
"140",4.5,0,"Lewis","Silver Hake"
"141",25,0,"Lewis","Silver Hake"
"142",24,0,"Lewis","Silver Hake"
"143",19.5,0,"Lewis","Silver Hake"
"144",21,0,"Lewis","Silver Hake"
"145",6,0,"Lewis","Silver Hake"
"146",3,0,"Lewis","Silver Hake"
"147",26.5,0,"Lewis","Silver Hake"
"148",23.5,0,"Lewis","Silver Hake"
"149",18,7.0198560652042,"Lewis","Silver Hake"
"150",2.5,0,"Lewis","Silver Hake"
"151",24.5,0,"Lewis","Silver Hake"
"152",8.5,0,"Lewis","Silver Hake"
"153",8,0,"Lewis","Silver Hake"
"154",9,0.452559705826574,"Lewis","Silver Hake"
"155",4.5,0,"Lewis","Silver Hake"
"156",13.5,0.0489379985474881,"Lewis","Silver Hake"
"157",25.5,0,"Lewis","Silver Hake"
"158",10.5,0.0468170542673734,"Lewis","Silver Hake"
"159",5,0,"Lewis","Silver Hake"
"160",22,0,"Lewis","Silver Hake"
"161",13,1.55968820396812,"Lewis","Silver Hake"
