,Specimen Page,Sequence Length,Genus,Species,Genus species,% Match,Notes,Common_Name,Cruise ID,Haul ID,Station ID,Latitude,Longitude,SST,Depth,Stage,Picture file(s),Day,Month,Year,Time
CCDB-39382 A01,CCDB-39382 A01,652,Scophthalmus,"aquosus","Scophthalmus aquosus",99.85,,Windowpane Flounder,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Larva,https://drive.google.com/file/d/1BRlBfh5QjJctKsYAst7ESWTcIqFt7A-p/view?usp=sharing,,,,
CCDB-39382 A02,CCDB-39382 A02,610,Tautogolabrus,adspersus,Tautogolabrus adspersus,100,,Cunner,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Egg,https://drive.google.com/file/d/1Niq_mj1t20N5Fs4gd9e6YeFYLHFf32la/view?usp=sharing,,,,
CCDB-39382 A03,CCDB-39382 A03,652,Scomber,scombrus,Scomber scombrus,100,,Atlantic Mackerel,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Larva,https://drive.google.com/file/d/12gXHOKaqc4wkERiB6TobwemH5oMMmve6/view?usp=sharing,,,,
CCDB-39382 A04,CCDB-39382 A04,652,Tautogolabrus,adspersus,Tautogolabrus adspersus,100,,Cunner,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Egg,https://drive.google.com/file/d/1OhJv686zBkXhK3Q-_rJRII1GsY-OcNFB/view?usp=sharing,,,,
CCDB-39382 A05,CCDB-39382 A05,652,Scomber,scombrus,Scomber scombrus,100,,Atlantic Mackerel,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Larva,https://drive.google.com/file/d/12gXHOKaqc4wkERiB6TobwemH5oMMmve6/view?usp=sharing,,,,
CCDB-39382 A06,CCDB-39382 A06,652,Scophthalmus,"aquosus","Scophthalmus aquosus",100,,Windowpane Flounder,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Larva,https://drive.google.com/file/d/1eg5G-EEK11tR0CiiCbaNE4SnLgbXIEFu/view?usp=sharing,,,,
CCDB-39382 A07,CCDB-39382 A07,209,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Egg,https://drive.google.com/file/d/1yRB2p95IEGSIfZZzxO4S1rnAL3DCyO8j/view?usp=sharing,,,,
CCDB-39382 A08,CCDB-39382 A08,652,Scomber,scombrus,Scomber scombrus,100,,Atlantic Mackerel,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Larva,https://drive.google.com/file/d/1UV9iUchCp2G7uuKPLt75ZcF3vuwdx-tX/view?usp=sharing,,,,
CCDB-39382 A09,CCDB-39382 A09,652,Scomber,scombrus,Scomber scombrus,100,,Atlantic Mackerel,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Egg,https://drive.google.com/file/d/1ozbpTXtw28ejUCSd7NwDocWLbuPBOiqw/view?usp=sharing,,,,
CCDB-39382 A10,CCDB-39382 A10,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Egg,https://drive.google.com/file/d/1anQ4iJ9geN0YMZbSnNAiS9zjVnYNTWXF/view?usp=sharing,,,,
CCDB-39382 A11,CCDB-39382 A11,648,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Egg,https://drive.google.com/file/d/1J7D8pYmvKGj6Rx3YEk67gAuLR2IqPV2x/view?usp=sharing,,,,
CCDB-39382 A12,CCDB-39382 A12,627,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Egg,https://drive.google.com/file/d/1vuPDkpBGnbeIMj3UcfI5_R5NqJf4s1Gm/view?usp=sharing,,,,
CCDB-39382 B01,CCDB-39382 B01,652,Glyptocephalus,cynoglossus,Glyptocephalus cynoglossus,100,,Witch Flounder,2105,E02,7.2,40.06.365,73.38.809,15.6,41,Larva,https://drive.google.com/file/d/1IURedIoD8n93SrVO9kMPLIoavB8Czr0J/view?usp=sharing,,,,
CCDB-39382 B02,CCDB-39382 B02,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E03,7.3,39.42.767,73.30.041,14.61,41,Egg,https://drive.google.com/file/d/1LAF1AVYBRjHOLp3rTvU9z1-sfyKYcJy6/view?usp=sharing,,,,
CCDB-39382 B03,CCDB-39382 B03,652,Paralichthys,oblongus,Paralichthys oblongus,99.85,,Fourspot Flounder,2105,E03,7.3,39.42.767,73.30.041,14.61,41,Egg,https://drive.google.com/file/d/1AdErGsAXprum6h7YiUJIpwbLmHklJrcE/view?usp=sharing,,,,
CCDB-39382 B04,CCDB-39382 B04,652,Citharichthys,arctifrons,Citharichthys arctifrons,100,,Gulfstream Flounder,2105,E03,7.3,39.42.767,73.30.041,14.61,41,Egg,https://drive.google.com/file/d/1ZS8e0ACrqphGWLOs9gXzRbRsJ70aAVfF/view?usp=sharing,,,,
CCDB-39382 B05,CCDB-39382 B05,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E03,7.3,39.42.767,73.30.041,14.61,41,Egg,https://drive.google.com/file/d/1V5qQQwWlkEs8WkDQitc-GUJCPpcGb-TN/view?usp=sharing,,,,
CCDB-39382 B06,CCDB-39382 B06,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E03,7.3,39.42.767,73.30.041,14.61,41,Egg,https://drive.google.com/file/d/1geWK14XB2DUMeRzQm6NX46d9pPk2d2w3/view?usp=sharing,,,,
CCDB-39382 B07,CCDB-39382 B07,652,Scophthalmus,"aquosus","Scophthalmus aquosus",100,,Windowpane Flounder,2105,E03,7.3,39.42.767,73.30.041,14.61,41,Egg,https://drive.google.com/file/d/1NAFAVAp5Aflfjj5tM1oC4x4xxvIlypwm/view?usp=sharing,,,,
CCDB-39382 B08,CCDB-39382 B08,648,Merluccius,bilinearis,Merluccius bilinearis,99.84,,Silver Hake,2105,E05,7.5,38.55.728,73.12.859,14.3,74,Egg,https://drive.google.com/file/d/1m18n_0F7qFjL1_mmBpjCoBQJ6gI-8Kjl/view?usp=sharing,,,,
CCDB-39382 B09,CCDB-39382 B09,652,Scophthalmus,"aquosus","Scophthalmus aquosus",99.85,,Windowpane Flounder,2105,E13,5.1,40.34.773,73.07.642,16.4,25,Egg,https://drive.google.com/file/d/16dOLw4xCCBGCce3JPq1NAp3M8B3W4bEc/view?usp=sharing,,,,
CCDB-39382 B10,CCDB-39382 B10,652,Scophthalmus,"aquosus","Scophthalmus aquosus",100,,Windowpane Flounder,2105,E13,5.1,40.34.773,73.07.642,16.4,25,Egg,https://drive.google.com/file/d/1pohQ86rtkxHNHn7538QIzmJAz_0YZDBn/view?usp=sharing,,,,
CCDB-39382 B11,CCDB-39382 B11,652,Paralichthys,oblongus,Paralichthys oblongus,100,,Fourspot Flounder,2105,E14,5.2,40.16.080,73.00.728,15.9,41,Egg,https://drive.google.com/file/d/1BHCE3nddXM89zgf_VQhD5phduV3NPQV0/view?usp=sharing,,,,
CCDB-39382 B12,CCDB-39382 B12,652,Scomber,scombrus,Scomber scombrus,100,,Atlantic Mackerel,2105,E14,5.2,40.16.080,73.00.728,15.9,41,Larva,https://drive.google.com/file/d/1OS0lfZHqmM1ScrnyumpKNUedEi_u7kvw/view?usp=sharing,,,,
CCDB-39382 C01,CCDB-39382 C01,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E14,5.2,40.16.080,73.00.728,15.9,41,Egg,https://drive.google.com/file/d/1ZM8SL95CpeTrHD15LDlLMHfNtVq6zECY/view?usp=sharing,,,,
CCDB-39382 C02,CCDB-39382 C02,652,Merluccius,bilinearis,Merluccius bilinearis,100,,Silver Hake,2105,E14,5.2,40.16.080,73.00.728,15.9,41,Egg,https://drive.google.com/file/d/1ELYuF5H2tXZQP-cRl_hqP7JOayznh0um/view?usp=sharing,,,,
CCDB-39382 C03,CCDB-39382 C03,0,,,,,Horrible,,2105,E14,5.2,40.16.080,73.00.728,15.9,41,Larva,https://drive.google.com/file/d/1_DCwBkVH8C8VfRCnX2iGahLxIlzdrSRd/view?usp=share_link,,,,
