Cruise_Name,Station,TimePeriod,Latitude,Longitude,Ich_Haul_Fctr,Cruise_Name,Station,100000000,121050300,121050304,121060000,121060101,121060103,143130803,143150501,148010105,148010106,148010107,148010201,148010301,148010401,148010501,148010701,148041401,148041403,170024806,170025015,170070201,170070202,170080101,170200907,170201801,170201902,170203701,170280101,170282601,170340102,170400203,170440100,170440604,170460402,170511100,170570503,170570505,183010301,183010605,183012301,183012403,183020201,183020301,183021301,183030101,183050711,183050712
AL0111,24,nov,38.75,-74.4867,1.8,AL0111,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,8,nov,39.58,-72.3083,2.5,AL0306,8,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
AL0306,9,nov,39.3533,-72.3283,4,AL0306,9,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,
AL0306,20,nov,40.6317,-71.4167,3.3,AL0306,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,21,nov,40.7417,-71.1133,3,AL0306,21,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,24,nov,41.08,-69.6133,1.4,AL0306,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,31,nov,40.5033,-68.7583,6,AL0306,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,35,nov,40.6983,-67.505,4.3,AL0306,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,45,nov,41.4367,-67.2083,2.2,AL0306,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,53,nov,41.9367,-66.2533,4.72,AL0306,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,58,nov,42.1617,-66.6233,6.08,AL0306,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,59,nov,42.4067,-66.9933,5,AL0306,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,65,nov,42.18,-67.895,3.1,AL0306,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,67,nov,42.5,-69.425,3.46,AL0306,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,68,nov,42.505,-69.6483,3.8,AL0306,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0306,69,nov,42.385,-70.3633,2,AL0306,69,,,,,,,,,,,,,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
